playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,PA,OBP,SLG,OPS,OPS_Plus,TB
abadfe01,2017,1,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
abreujo02,2017,1,CHW,AL,156,621,95,189,43,6,33,102,3,0,35,119,6,15,0,4,21,0.304,675,0.354,0.552,0.906,140,343
adamecr01,2017,1,COL,NL,12,13,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0.000,14,0.071,0.000,0.071,-80,0
adamsau02,2017,1,WSN,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
adamsla01,2017,1,ATL,NL,85,109,19,30,4,1,5,20,10,0,10,37,0,1,1,1,3,0.275,122,0.339,0.468,0.807,110,51
adamsma01,2017,1,ATL,NL,100,291,42,79,20,1,19,58,0,0,19,71,5,1,0,3,5,0.271,314,0.315,0.543,0.858,121,158
adamsma01,2017,2,STL,NL,31,48,4,14,2,0,1,7,0,0,4,17,0,0,0,1,0,0.292,53,0.340,0.396,0.735,94,19
adducji02,2017,1,DET,AL,29,83,14,20,6,2,1,10,1,1,10,27,0,0,0,0,1,0.241,93,0.323,0.398,0.720,90,33
adlemti01,2017,1,CIN,NL,27,29,0,3,1,0,0,2,0,0,0,10,0,0,3,0,0,0.103,32,0.103,0.138,0.241,-37,4
adriaeh01,2017,1,MIN,AL,70,162,30,43,9,2,2,24,8,1,16,25,1,1,1,6,0,0.265,186,0.324,0.383,0.707,90,62
aguilje01,2017,1,MIL,NL,133,279,40,74,15,2,16,52,0,0,25,94,1,4,0,3,8,0.265,311,0.331,0.505,0.837,114,141
ahmedni01,2017,1,ARI,NL,53,167,24,42,8,1,6,21,3,4,10,39,3,1,0,0,6,0.251,178,0.298,0.419,0.717,78,70
alberan01,2017,1,SEA,AL,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1.000,3,1.000,1.000,2.000,448,1
alberma01,2017,1,WSN,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
albieoz01,2017,1,ATL,NL,57,217,34,62,9,5,6,28,8,1,21,36,0,3,1,2,3,0.286,244,0.354,0.456,0.810,112,99
albural01,2017,1,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
alcanar01,2017,1,CIN,NL,70,105,13,18,3,1,1,7,2,0,2,38,0,0,1,0,2,0.171,108,0.187,0.248,0.435,13,26
alcansa01,2017,1,STL,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
alexasc02,2017,1,KCR,AL,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,3,0.000,0.000,0.000,-100,0
alfarjo01,2017,1,PHI,NL,29,107,12,34,6,0,5,14,0,0,3,33,1,4,0,0,2,0.318,114,0.360,0.514,0.874,129,55
alforan01,2017,1,TOR,AL,4,8,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0.125,8,0.125,0.250,0.375,-5,2
allenco01,2017,1,CLE,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
allengr01,2017,1,CLE,AL,25,35,7,8,1,0,1,6,1,0,2,8,0,1,0,1,0,0.229,39,0.282,0.343,0.625,63,12
almonab01,2017,1,CLE,AL,69,172,26,40,8,3,3,14,2,1,20,46,0,1,1,1,2,0.233,195,0.314,0.366,0.681,78,63
almoral01,2017,1,CHC,NL,132,299,39,89,18,1,8,46,1,0,19,53,1,0,3,2,8,0.298,323,0.338,0.445,0.782,101,133
alonsyo01,2017,1,SEA,AL,42,132,20,35,5,0,6,18,1,0,18,30,0,0,0,0,3,0.265,150,0.353,0.439,0.793,114,58
alonsyo01,2017,2,OAK,AL,100,319,52,85,17,0,22,49,1,0,50,88,6,2,0,0,6,0.266,371,0.369,0.527,0.896,140,168
altavda01,2017,1,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
altheaa01,2017,1,PHI,NL,107,372,58,101,24,5,19,65,5,4,32,104,2,7,0,1,12,0.272,412,0.340,0.516,0.856,124,192
altuvjo01,2017,1,HOU,AL,153,590,112,204,39,4,24,81,32,6,58,84,3,9,1,4,19,0.346,662,0.410,0.547,0.957,164,323
alvarhe01,2017,1,PHI,NL,3,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,6,0.000,0.000,0.000,-100,0
alvarjo02,2017,1,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
alvarpe01,2017,1,BAL,AL,14,32,4,10,1,0,1,4,0,0,2,10,0,0,0,0,0,0.313,34,0.353,0.438,0.790,112,14
amarial01,2017,1,COL,NL,96,168,22,40,10,0,3,19,1,0,7,38,0,0,1,0,5,0.238,176,0.269,0.351,0.620,52,59
anderbr04,2017,1,CHC,NL,6,7,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0.143,8,0.250,0.143,0.393,7,1
anderbr06,2017,1,MIA,NL,25,84,11,22,7,1,0,8,0,0,10,28,0,0,0,1,1,0.262,95,0.337,0.369,0.706,91,31
anderch01,2017,1,MIL,NL,24,52,1,7,1,0,0,3,0,0,0,29,0,0,3,0,1,0.135,55,0.135,0.154,0.288,-25,8
anderdr02,2017,1,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
anderti01,2017,1,CHW,AL,146,587,72,151,26,4,17,56,15,1,13,162,0,3,2,1,13,0.257,606,0.276,0.402,0.679,80,236
anderty01,2017,1,COL,NL,17,26,1,1,0,0,0,0,0,0,1,17,0,0,6,0,1,0.038,33,0.074,0.038,0.113,-71,1
andruel01,2017,1,TEX,AL,158,643,100,191,44,4,20,88,25,10,38,101,0,3,1,4,18,0.297,689,0.337,0.471,0.808,108,303
andujmi01,2017,1,NYY,AL,5,7,0,4,2,0,0,4,1,0,1,0,0,0,0,0,0,0.571,8,0.625,0.857,1.482,286,6
aokino01,2017,1,HOU,AL,70,202,28,55,12,1,2,19,5,2,15,29,1,2,1,4,11,0.272,224,0.323,0.371,0.694,93,75
aokino01,2017,2,TOR,AL,12,32,4,9,1,0,3,8,0,0,1,5,0,0,0,1,0,0.281,34,0.294,0.594,0.888,124,19
aokino01,2017,3,NYM,NL,27,102,16,29,7,1,0,8,5,0,13,10,0,1,0,0,1,0.284,116,0.371,0.373,0.743,99,38
aquinja01,2017,1,BAL,AL,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.000,2,0.000,0.000,0.000,-100,0
aranovi01,2017,1,PHI,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
archech01,2017,1,TBR,AL,3,8,1,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0.250,8,0.250,0.250,0.500,39,2
arciaor01,2017,1,MIL,NL,153,506,56,140,17,2,15,53,14,7,36,100,9,1,2,3,10,0.277,548,0.324,0.407,0.731,89,206
arenano01,2017,1,COL,NL,159,606,100,187,43,7,37,130,3,2,62,106,9,4,1,6,21,0.309,680,0.373,0.586,0.959,132,355
armstsh01,2017,1,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0,0.000,0.000,0.000,0,0
arrieja01,2017,1,CHC,NL,29,61,2,8,0,1,1,5,0,0,1,32,0,0,2,0,0,0.131,64,0.145,0.213,0.358,-9,13
arroybr01,2017,1,CIN,NL,15,26,0,4,0,0,0,0,0,0,0,10,0,0,3,0,0,0.154,29,0.154,0.154,0.308,-19,4
arroych01,2017,1,SFG,NL,34,125,9,24,5,0,3,14,1,2,8,32,1,1,0,1,4,0.192,135,0.244,0.304,0.548,45,38
ascheco01,2017,1,CHW,AL,19,57,5,6,1,0,1,4,0,0,3,21,1,2,0,0,1,0.105,62,0.177,0.175,0.353,-4,10
