playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,FIP,WHIP
abadfe01,2017,1,BOS,AL,2,1,48,0,0,0,1,NULL,40,16,4,14,37,NULL,3.3,1,NULL,1,1,182,NULL,18,NULL,NULL,NULL,43,3.680,1.237
adamsau02,2017,1,WSN,NL,0,0,6,0,0,0,0,NULL,4,2,0,8,10,NULL,3.6,0,NULL,1,0,29,NULL,4,NULL,NULL,NULL,5,4.560,2.400
adlemti01,2017,1,CIN,NL,5,11,30,20,0,0,0,NULL,124,75,29,51,108,NULL,5.52,1,NULL,6,1,531,NULL,79,NULL,NULL,NULL,122,5.870,1.431
alberan01,2017,1,SEA,AL,5,1,9,6,0,0,1,NULL,43,16,6,10,37,NULL,3.51,0,NULL,2,0,178,NULL,22,NULL,NULL,NULL,41,4.130,1.293
alberma01,2017,1,WSN,NL,7,2,63,0,0,0,2,NULL,35,11,6,17,63,NULL,1.62,0,NULL,4,0,233,NULL,12,NULL,NULL,NULL,61,3.400,0.852
albural01,2017,1,CHW,AL,0,1,10,0,0,0,0,NULL,3,1,0,2,5,NULL,1.13,0,NULL,0,0,29,NULL,1,NULL,NULL,NULL,8,2.660,0.625
albural01,2017,2,KCR,AL,0,1,11,0,0,0,0,NULL,7,4,0,6,9,NULL,3.6,0,NULL,0,0,42,NULL,4,NULL,NULL,NULL,10,3.160,1.300
alcanra01,2017,1,OAK,AL,1,2,8,4,0,0,0,NULL,22,19,5,12,12,NULL,7.13,1,NULL,3,1,108,NULL,21,NULL,NULL,NULL,24,6.740,1.417
alcansa01,2017,1,STL,NL,0,0,8,0,0,0,0,NULL,9,4,2,6,10,NULL,4.32,0,NULL,0,0,39,NULL,6,NULL,NULL,NULL,8,6.040,1.800
alcanvi01,2017,1,DET,AL,0,0,6,0,0,0,0,NULL,12,7,1,4,5,NULL,8.59,0,NULL,2,0,39,NULL,7,NULL,NULL,NULL,7,6.020,2.182
alexasc02,2017,1,KCR,AL,5,4,58,0,0,0,4,NULL,62,19,3,28,59,NULL,2.48,0,NULL,0,0,283,NULL,23,NULL,NULL,NULL,69,3.230,1.304
allenco01,2017,1,CLE,AL,3,7,69,0,0,0,30,NULL,57,22,9,21,92,NULL,2.94,0,NULL,2,0,282,NULL,24,NULL,NULL,NULL,67,3.190,1.158
almonmi01,2017,1,KCR,AL,0,0,2,0,0,0,0,NULL,5,3,0,2,0,NULL,13.5,0,NULL,0,0,12,NULL,3,NULL,NULL,NULL,2,6.160,3.500
altavda01,2017,1,SEA,AL,1,1,41,0,0,0,0,NULL,43,22,9,20,52,NULL,4.24,1,NULL,1,0,203,NULL,27,NULL,NULL,NULL,46,4.790,1.350
alvarda01,2017,1,TEX,AL,2,0,20,0,0,0,0,NULL,19,5,1,14,17,NULL,2.76,0,NULL,1,1,82,NULL,8,NULL,NULL,NULL,16,4.630,2.020
alvarhe01,2017,1,PHI,NL,0,1,3,3,0,0,0,NULL,14,7,2,11,6,NULL,4.3,1,NULL,0,1,67,NULL,7,NULL,NULL,NULL,14,6.360,1.705
alvarjo02,2017,1,LAA,AL,0,3,64,0,0,0,1,NULL,50,21,7,12,45,NULL,3.88,5,NULL,0,0,203,NULL,23,NULL,NULL,NULL,48,3.920,1.274
alvarjo03,2017,1,TBR,AL,0,3,35,0,0,0,0,NULL,24,12,1,9,29,NULL,3.64,1,NULL,0,0,123,NULL,12,NULL,NULL,NULL,29,2.550,1.112
anderbr04,2017,1,TOR,AL,2,2,7,7,0,0,0,NULL,39,19,3,9,22,NULL,5.13,0,NULL,0,0,140,NULL,19,NULL,NULL,NULL,33,3.820,1.440
anderbr04,2017,2,CHC,NL,2,2,6,6,0,0,0,NULL,34,20,2,12,16,NULL,8.18,0,NULL,0,0,111,NULL,22,NULL,NULL,NULL,22,4.520,2.091
